Id_Franquicia,Nombre_Franquicia,Min_Inversion,Max_Inversion,Año_Fundado,Unidades
259,Walk-On's Bistreaux & Bar,1310000.0,4990000.0,2014,71
260,Southern Maid Donuts,65000.0,235000.0,2012,71
261,Orange Leaf Frozen Yogurt,136000.0,685000.0,2010,71
262,Dream Dinners,332000.0,610000.0,2002,70
263,Pizza Twist,290000.0,551000.0,2017,70
264,Surf City Squeeze,67000.0,356000.0,2008,70
265,Your Pie,369000.0,940000.0,2010,69
266,Erbert & Gerbert,40000.0,460000.0,1991,68
267,HTeaO,238000.0,1930000.0,2009,68
268,Cinnaholic,241868000.0,505018000.0,2010,67
269,Bar Louie,1080000.0,3970000.0,1990,67
270,Goodcents,333000.0,509000.0,1991,66
271,Giordano's,601000.0,2029999.9999999998,2011,65
272,Ziggi's Coffee,467000.0,1750000.0,2016,65
273,Gold Star Chili,693000.0,1010000.0,1965,65
274,Crafty Crab,953000.0,1830000.0,2016,65
275,Fosters Freeze International,178000.0,1010000.0,2015,64
276,Manhattan Bagel,537000.0,895000.0,1987,64
277,Pokéworks,386000.0,646000.0,2015,64
278,Pinkberry,269000.0,607000.0,2005,64
279,Freshii Restaurant,169000.0,636000.0,2008,64
280,U-Swirl,339000.0,506000.0,2008,64
281,Zoup! Restaurants,358000.0,676000.0,1998,63
282,Le Macaron,92000.0,454000.0,2009,63
283,HuHot Mongolian Grill,487000.0,1220000.0,2005,62
284,Handel's Homemade Ice Cream,235000.0,721000.0,1998,62
285,Buffalo Wings & Rings,1480000.0,2000000.0,1984,62
286,Gyu-Kaku Japanese BBQ Restaurant,1220000.0,2610000.0,2008,62
287,RNR Rock 'N Roll Sushi,232000.0,675000.0,2020,61
288,Monical's Restaurant,488000.0,1130000.0,1982,60
289,Anthony’s Coal Fired Pizza,810000.0,1240000.0,2013,60
290,NrGize,72000.0,409000.0,2009,60
291,Creamistry,225000.0,577000.0,2013,60
292,Cosi,396000.0,743000.0,2017,59
293,Eggs Up Grill,611000.0,935000.0,2018,59
294,Pie Five Restaurants,393000.0,891000.0,2011,58
295,Hokulia Shave Ice,71000.0,785000.0,2012,58
296,Poke Bar Dice & Mix,158000.0,438000.0,2015,58
297,Bambu,155000.0,309000.0,2014,58
298,Bellacino's,271000.0,415000.0,1993,57
299,B.GOOD,532000.0,846000.0,2012,57
300,Kolache Factory,455000.0,774000.0,2000,57
301,Red Mango,128000.0,591000.0,2006,57
302,Dunn Brothers Coffee,536000.0,809000.0,1998,56
